"","CITY","TOT_CONF","TOT_RECOV","TOT_DEATH","LATITUDE","LONGITUDE","TOT_POP","RATE"
"273","Xian",120,110,2,34.16,108.54,1.2e+07,1e-05
"274","Hanzhong",26,25,0,33.0403,107.0124,3438100,7.56231639568366e-06
"275","Ankang",26,26,0,32.4105,109.0144,2650000,9.81132075471698e-06
"276","Xianyang",17,16,0,34.1947,108.4233,4972400,3.4188721744027e-06
"277","Weinan",15,4,0,34.2957,109.3011,5359900,2.7985596746208e-06
"278","Baoji",13,13,0,34.2148,107.1416,3771000,3.44736144258817e-06
"279","Tongchuan",8,8,0,34.5352,108.5641,846200,9.45402978019381e-06
"280","Yanan",8,8,0,36.3508,109.2923,2263100,3.53497415050152e-06
"281","Shangluo",7,7,0,33.5213,109.5626,2357400,2.96937303809281e-06
"282","Yulin",3,3,0,38.1707,109.4405,3401100,8.82067566375584e-07
"283","Yangling",1,1,0,34.2721,108.0847,155000,6.45161290322581e-06
"284","Hancheng",1,1,0,35.4768,110.4428,391164,2.55647247701731e-06
"285","Jinzhong",37,37,0,37.4115,112.4506,3335700,1.109212459154e-05
"286","Taiyuan",20,20,0,37.52,112.33,4381000,4.56516776991554e-06
"287","Yuncheng",19,19,0,35.0135,111.0027,5275300,3.60169089909579e-06
"288","Datong",12,12,0,40.0435,113.18,3406400,3.52278064819164e-06
"289","Jincheng",10,10,0,35.2922,112.5106,2315000,4.31965442764579e-06
"290","Changzhi",8,8,0,36.1143,113.0659,3420400,2.33890773009005e-06
"291","Shuozhou",8,8,0,39.1951,112.2555,1762200,4.5397798206787e-06
"292","Xinzhou",7,7,0,38.2459,112.4403,3141300,2.22837678668067e-06
"293","Lvliang",6,6,0,37.3106,111.0838,3832200,1.56568028808517e-06
"294","Yangquan",4,4,0,37.5126,113.3449,1398300,2.86061646284774e-06
"295","Linfen",2,2,0,36.0517,111.3108,4435700,4.50887120409406e-07
"296","Tianjin",136,132,3,39.3434,117.3616,15596000,8.72018466273403e-06
"297","Taiwan",50,20,1,23.9037,121.0794,23345969,2.14169735254938e-06
"298","Wulumuqi",23,23,0,43.43,87.38,2226100,1.03319707111091e-05
"299","Yilizhou",18,18,0,43.9168,81.3241,4582000,3.92841553906591e-06
"300","Changjizhou",4,4,0,44.0112,87.3082,547481,7.30618962119233e-06
"301","Tulufan",3,3,0,42.9513,89.1898,622900,4.81618237277252e-06
"302","Bazhou",3,3,0,41.7641,86.1453,820000,3.65853658536585e-06
"303","Akesu",1,1,0,41.1675,80.2634,560000,1.78571428571429e-06
"304","Lhasa",1,1,0,29.6525,91.1721,642300,1.55690487311225e-06
"305","Kunming",53,53,0,25.023,102.4218,6677000,7.93769657031601e-06
